host,variant,run,rule,real_F1,reproduced,chosen_mask,chosen_tau,chosen_lambda
SimulatedWS12,TGN_fullz,2,loocv_mask,0.8506,True,PROCESS,2.7257676,
SimulatedWS12,TGN_fullz,2,loocv_lambda,0.8506,True,PROCESS,2.7257676,0.0
SimulatedWS12,released,0,default_tau10,0.8222,True,,,
SimulatedWS12,released,0,minor_tau1,0.6847,True,,,
SimulatedWS12,released,0,significant_tau100,0.0,True,,,
SimulatedWS12,released,0,critical_tau1000,0.0,True,,,
SimulatedWS12,released,0,mask_FILE_tau10,0.0,True,,,
SimulatedWS12,released,0,mask_NET_tau10,0.0,True,,,
SimulatedWS12,released,0,mask_PROCESS_tau10,0.0,True,,,
SimulatedWS12,released,0,mask_PROCESS_tau1,0.925,True,,,
SimulatedWS12,released,0,oracle_prefix,0.8222,True,,,
SimulatedWS12,released,0,topk5,0.7789,True,,,
SimulatedWS12,released,0,topk10,0.717,True,,,
SimulatedWS12,released,0,topk15,0.6847,True,,,
SimulatedWS12,released,0,topk20,0.6847,True,,,
SimulatedWS12,released,0,outlier_grubbs,0.7789,True,,,
SimulatedWS12,released,0,outlier_zscore,0.0,True,,,
SimulatedWS12,released,0,outlier_iqr,0.8222,True,,,
SysClient0051,fullz,0,default_tau10,0.447,True,,,
